postUrl,description
https://www.instagram.com/p/C2S264Dyktc/,"Don‚Äôt miss out on our incredible new merch, launching MONDAY AT NOON in-person and on our online shop!!! üöÄüöÄ

Crewnecks: $45 
Hoodies: $55

PLUS, enjoy a $5 discount on the first 50 purchases (first 25 in-person + first 25 online)! ü§©ü§ëü§å

Catch us outside ALSSC from 12pm-2pm this week, or secure your favourites on our website (sus.ubc.ca) via our linktr.ee! 

What are you waiting for? Grab yours NOW!"
https://www.instagram.com/p/C2NsfaFyn7Q/,"üåü ATTENTION SCIENCE STUDENTS! üåü Get ready to show off your new SUS merch and science spirit! Want a chance to win your new favourite hoodie or crewneck? 

THE RULES:
1Ô∏è‚É£ LIKE this post
2Ô∏è‚É£ FOLLOW @susubc & @bouncelifevancouver on Instagram
3Ô∏è‚É£ TAG a friend below ‚Äî each comment counts as 1 entry, unlimited entries

Win a Bounce hoodie or your preferred item from our SUS collection‚Äîchoose between any of our cozy hoodies or crewnecks! Sizes range from S to XL, available in colours black, white, grey, light blue, and sand.

Giveaway closes 01/21 at NOON. TWO lucky winners will be announced Sunday night at 8pm on our story!

Be sure to download Bounce to be the first to hear about upcoming SUS events and activities!"
https://www.instagram.com/p/C1ut8rAOCnV/,"Hey UBC students!üî¨ Gear up for the SUS Science Olympics happening this upcoming January 27th 11am-6pm! üöÄ Join us for an exhilarating day of trivia, debate, hackathons, case competitions, and more. Team up in groups of 4-6 to test your knowledge, creativity, and teamwork, and compete for victory! üèÜ Ready to showcase your academic prowess? Link in bio to register and seize your chance to win over $750 in prizes and raffle goodies! üåê Proudly brought to you in collaboration with @ubc.medethics, @ubc_chemistry, @ubcbloodforlife, @hih_ubc, @ubcvaccineliteracy, and @ubcdebateclub. ü§ù While having some team-members with a science background is recommended, teams of any and all UBC students may register to compete!!"
https://www.instagram.com/p/C2JLN1bpzvz/,"HI UBC SCIENCE! Get ready to elevate your style with our 2024 collection of hoodies & crewnecks, NOW IN 5 COLOURS!!! ü©µü§éü§çüñ§ü©∂ Mark your calendars for the big drop next Monday at noon, both in-person and online at sus.ubc.ca. Stay tuned for early-bird sales and an exciting giveaway collaboration coming this Wednesday! ü´µü´µ

üì∏: @aezho @joseph_j0511"
https://www.instagram.com/p/C2DzxmivKqk/,"Hey UBC students!üî¨ Gear up for the SUS Science Olympics happening this upcoming January 27th 11am-6pm! üöÄ Join us for an exhilarating day of trivia, debate, hackathons, case competitions, and more. Team up in groups of 4-6 to test your knowledge, creativity, and teamwork, and compete for victory! üèÜ Ready to showcase your academic prowess? Link in bio to register and seize your chance to win over $750 in prizes and raffle goodies! üåê Proudly brought to you in collaboration with @ubc.medethics, @ubc_chemistry, @ubcbloodforlife, @hih_ubc, @ubcvaccineliteracy, and @ubcdebateclub. ü§ù While having some team-members with a science background is recommended, teams of any and all UBC students may register to compete!!"
https://www.instagram.com/p/C144Z-4PwSk/,"This year, the SUS Community Engagement Fair will feature 14 amazing clubs and organizations - swipe through this post to learn more about their causes! 

Make sure to join us on January 15th for the chance to interact with representatives from all of these clubs and organizations! ¬†

RSVP using the link in the bio!"
https://www.instagram.com/p/C1sXI0QOlk7/,"You‚Äôre invited to the UBC SUS Community Engagement Fair! 

The Community Engagement Fair is an annual SUS event which brings UBC Science students together to connect over philanthropy, community awareness, and charity. 

This year‚Äôs event will be held on Monday, January 15th from 5:00 - 7:00 PM in Abdul Ladha. At the fair, you will have the opportunity to interact with representatives from a variety of different organizations to learn about their visions and discuss ways to get involved with their causes. A number of amazing organizations ranging from Let‚Äôs Talk Science UBC to Big Brothers Vancouver will be having booths at the fair. The event will be an incredible networking opportunity that you don‚Äôt want to miss out on - see you on January 15th!

When: Monday, January 15th from 5:00 - 7:00 PM
Where: Abdul Ladha

Pizza will be provided!"
https://www.instagram.com/p/C1pqrX7yKLH/,"Hey UBC! Are you interested in the field of Biotechnology? If so, come join (S)US during the annual Biotechnology Networking night, hosted in collaboration with @ubcbcitbiotech and @ubc.misa! üß™ The night will consist of a networking portion where you can visit and chat with companies booth such as StemCell, NanoVation and Acuitas! Following that, there will be a panel session and a Q&A session.üë©‚Äçüî¨ You may even secure your future co-op position through networking at this event! üôÄIf that isn‚Äôt enough to convince you, there will be catering, free bubble tea, and prizes given out!

DateüìÖ: January 12th, 2024¬†
Location: AMS Great Hall"
https://www.instagram.com/p/C1m5rVjvzKI/,"Hey SUS! Need to brighten up your dorm with some plants üå±? Or chill out with some puppies üê∂?¬†

Come relax with (S)US on January 11th from 5:00 - 7:00 PM at Abdul Ladha with free plants üåø, pot painting üë®‚Äçüé®, and puppy therapy üêï. Make sure to sign up in advance to guarantee your spot!¬†

RSVP links are on linktree in our bio!"
https://www.instagram.com/p/C1fUf6qu93U/,"Are you looking for a place to play science-themed mini games?üß¨üëæ Come join (S)US for our Amazing Race event happening on January 10th from 12:00 - 4:00 PM at The Atrium in the AMS Nest! Stop by to meet some UBC science clubs, make new friends and to win some cool prizes! üèÜ"
https://www.instagram.com/p/C1c3nNeu_yx/,"ReadyÖsetÖmash!!!????? Calling all Nintendo pro-drivers out there - SUS is bringing you Mario Kart Mash, a Nintendo Switch Mario Kart tournament on January 16th in Orchard Commons Room 4074 from 5-7PM ???? Compete in a single-elimination style 100cc Grand Prix tournament, where the top 3 winners will win $50, $30, and $20 Amazon gift cards ?????  Get blue-shelled in the first round??? Donít worry! We will also have raffle prizes for everybody who participates. Want BONUS raffle entries? ??? Those who bring their Nintendo switch, Mario Kart game, and/or extra controllers will receive extra entries, giving you a higher chance of winning 1 of $10 gift cards to a store of your choice ??  Pizza, drinks, and snacks will be provided ???? RSVP via the linktree in our bio ASAP, as tournament bracket registration is limited to 48 players?? We will also have a short waitlist for extra players. See you there ????"
https://www.instagram.com/p/C1aF_Myuoyx/,"Hey YOU ?? What better things to do on a chilly day than a cozy movie night with SUS ??Come join us January 9th at Abdul Ladha from 6:00 to 10:00 PM!  ?? Get your movie trivia knowledge ready for a chance to win Cineplex tickets, gift cards, and a projector ??  ?? For the food lovers, weíve got you covered with pizza ?? and delicious snacks ?? ??  See you there for a night of entertainment and epic prizes! ????"
https://www.instagram.com/p/C2S264Dyktc/,"Donít miss out on our incredible new merch, launching MONDAY AT NOON in-person and on our online shop!!! ???? Crewnecks: $45 Hoodies: $55 PLUS, enjoy a $5 discount on the first 50 purchases (first 25 in-person + first 25 online)! ?????? Catch us outside ALSSC from 12pm-2pm this week, or secure your favourites on our website (sus.ubc.ca) via our linktr.ee! What are you waiting for? Grab yours NOW!"
https://www.instagram.com/p/C2NsfaFyn7Q/,"?? ATTENTION SCIENCE STUDENTS! ?? Get ready to show off your new SUS merch and science spirit! Want a chance to win your new favourite hoodie or crewneck? THE RULES: 1?? LIKE this post 2?? FOLLOW @susubc & @bouncelifevancouver on Instagram 3?? TAG a friend below ó each comment counts as 1 entry, unlimited entries Win a Bounce hoodie or your preferred item from our SUS collectionóchoose between any of our cozy hoodies or crewnecks! Sizes range from S to XL, available in colours black, white, grey, light blue, and sand. Giveaway closes 01/21 at NOON. TWO lucky winners will be announced Sunday night at 8pm on our story! Be sure to download Bounce to be the first to hear about upcoming SUS events and activities!"
https://www.instagram.com/p/C1ut8rAOCnV/,"Hey UBC students!?? Gear up for the SUS Science Olympics happening this upcoming January 27th 11am-6pm! ?? Join us for an exhilarating day of trivia, debate, hackathons, case competitions, and more. Team up in groups of 4-6 to test your knowledge, creativity, and teamwork, and compete for victory! ?? Ready to showcase your academic prowess? Link in bio to register and seize your chance to win over $750 in prizes and raffle goodies! ?? Proudly brought to you in collaboration with @ubc.medethics, @ubc_chemistry, @ubcbloodforlife, @hih_ubc, @ubcvaccineliteracy, and @ubcdebateclub. ?? While having some team-members with a science background is recommended, teams of any and all UBC students may register to compete!!"
https://www.instagram.com/p/C0S-7QMOsMj/,"??LIGHTS, CAMERA, DANCE HORIZONS - MYS 2023?? Join us for a dazzling performance on December 10, at the Frederic Wood Theatre? Our mid-year show will take you on a journey through the glitz, glamor, and rhythm of ìLa La Landî. From classic films to contemporary blockbusters, DH brings you a celebration of dance, music, and the magic of Hollywood, where every step is a star-studded spectacle! So, get ready to watch our performers dance the night away and if youíre not afraid of paparazzi you can stun on the red carpet! And remember, in Hollywood, thereís no such thing as bad press. ???purchase tickets via the link in our bio, you donít want to miss out!??? Special shout out to EnLi @roaringdragons23 as videographer, editor, and co-director ?? ?? Also a big thanks to the following: Kiran (co-director and -choreographer) // Cameron (co-choreographer) // Allison, Cara, Tiya, & Ashley (dancers) ?"
https://www.instagram.com/p/Cz5LWSdyToA/,"Block off your calendars & get your tickets because MYS IS BACK?? Dance Horizons is hyped to be presenting our 2023 Mid Year Show on December 10th! ???? We'll be bringing you two spectacular shows where you'll get to see the UBC & Vancouver dance community perform. We invite everyone to join us for a night of dazzling performances that take you on a journey through glitz, glamour and rhythm with this year's theme: Lights, Camera, Dance Horizons! Lots of planning has gone into making sure we put on a great dance show ?? There will be dances of all styles featuring our own DH teams and classes, as well as some awesome guest performers and dance groups from around campus! ???? SHOWTIMES + TICKET INFO ?? ??SHOWTIME Date: Sunday, December 10th, 2023 ? Matinee Showtime: 3:30PM (doors open 3:00PM) ? Evening Showtime: 7:00PM (doors open 6:30PM) ?? Location: Frederic Wood - 6354 Crescent Rd, Vancouver, BC V6T 1Z2 ?? TICKET INFO Tier 1: $15 Tier 2: $18 Tier 3: $20 Tickets are sold through Bounce; links can be found in our bio! Come to celebrate all things dance????"
https://www.instagram.com/p/C2QTX5TynsU/,"DHCoís first practice this term is on Sunday, January 21 from 1:00-4:00 in NEST 2306/09. Itís completely open and free for everyone. This is a great chance to experience what our practices are like before committing to the team! Weíre excited to see yíall there!!"
https://www.instagram.com/p/C2Fv9F4vDtP/,"Itsís DHCís term 2 open practice! Join us on Saturday January 20th from 3:30-6 in Nest 2301 for a free practice! EVERYONE is welcome, regardless of if you were on the team last term! We cannot wait to dance with you!! DM us with any questions you have! #ubc #ubcdancehorizons #vancouverdance #vancouverhiphop #ubcclubs"
https://www.instagram.com/p/C0qPW4PsG2d/,"One day 'til showtime and guess what? Not only do you get the chance to watch our amazing performers and support the community, but you'll also have the chance to win prizes from our wonderful sponsors. Throughout the show, we will be announcing our raffle draws and giving away some very cool prizes. ???? If you are a ticket holder, you are automatically entered in our raffle. If you'd like to purchase more raffles, additional entries will be available for purchase at our front desk tomorrow! ?Also, as a special gift: the first 40 individuals who arrive to our matinee show tomorrow get to claim a free drink from @guruenergydrink ?? A big thank you to all of our sponsors for making this event possible! ????"
