postUrl,profileUrl,pubDate,headline,description,username
https://www.instagram.com/p/Czz4GLFrIt9/,https://www.instagram.com/sargamubc,2023-11-19T02:18:01.000Z,,"Interested in joining a creative and supportive team of musicians?? Check out the post to know everything there is to know about Sargam UBC :)) 

Please feel free to DM us with any questions 🤍🤍 

#sargamubc #sargam #musicgroup #indianmusic #indianmusicians #universityofbritishcolumbia #ubc #musician #bollywoodsongs #indianfusion #singing #singinggroup",sargamubc
https://www.instagram.com/p/C2V7iopPToE/,https://www.instagram.com/sargamubc,2024-01-21T00:46:32.000Z,,"We love a good cover!!! Here is Malavika and Akshay’s rendition of Mohe Rang Do Laal by Birju Maharaj and @shreyaghoshal ✨✨

#moherangdolaal #shreyaghoshal #bollywood #sargamubc #sargam #bollywoodsongs #filmy #filmysongs #hindimusic #cover #coversong #coversongs #bollywoodstyle #bajirao_mastani #bollywoodmovies #singing #singer #acoustic #singingcover #singingvideo",sargamubc
https://www.instagram.com/p/C1vT2tVPxRR/,https://www.instagram.com/sargamubc,2024-01-06T00:58:07.000Z,,"We are so excited to announce Raagini 2024!! ✨✨ Raagini is our biggest showcase of the year and we have some amazing performances lined up for y’all. Save the date: March 17th, 2024 

Stay tuned for the ticket info! 

#sargam #sargamubc #raagini #Raagini2024 #bollywood #music #fusion #musicperformance #performance #ubc #universityofbritishcolumbia #hindi #hindimusic #fusionmusic #songs #trailer #teaser #eventteaser #ubcmusic #ubcvancouver #bollywoodsongs",sargamubc
https://www.instagram.com/p/C1U-_5MOHX0/,https://www.instagram.com/sargamubc,2023-12-26T19:25:58.000Z,,"We are still obsessed with this song!! 

@billieeilish 

#whatwasimadefor #billieeilish #barbie #whatwasimadeforbillieeilish #cover #coversong #whendiditend #barbiemovie2023 #sargam #sargamubc #ubc #singingcover #singingvideo #coversong",sargamubc
https://www.instagram.com/p/C0z5zeNv9u2/,https://www.instagram.com/sargamubc,2023-12-13T23:10:57.000Z,,"An indie spotlight series for y’all by Shraddha and Parvathi!! 

Song: Mulaqat by @prateekkuhad 

#ubcsargam #sargam #sargamubc #prateekkuhad #indie #indiemusic #mulaqat #prateekkuhadmusic #mulaqatprateekkuhad #cover #coversongs #singers #hindisongs #hindimusic #indiesong #singing #spotlightseries #foryou #foryoupage #prateekkuhadcover",sargamubc
https://www.instagram.com/p/C0Xryinv7jr/,https://www.instagram.com/sargamubc,2023-12-03T00:08:26.000Z,,"A beautiful mashup of Exile and Ranjha by Shraddha, Viplav and Kasish 

#exile #taylorswift #ranjha #sargam #sargamubc ##music #mashup #bollywood #ranjhasidxkiaraversion #singing #foryoupage #singingcover #singingvideo #acoustic #acousticguitar #acousticcover #coversongs #singer #bollywoodmusic #taylorswiftedit #exiletaylorswift #exiletaylorswiftboniver",sargamubc
https://www.instagram.com/p/CzsJhYjrhLI/,https://www.instagram.com/sargamubc,2023-11-16T02:20:35.000Z,,"This week on our spotlight series is @siddharth15989 with his cover of phir bhi tumko chahunga by @arijitsingh ✨✨ 

We hope you enjoyy :) 

#arijitsingh #arijitsinghsongs #sargam #sargamubc #coversong #bollywood #bollywoodsongs #bollywoodstyle #acousticguitar #acousticcover #mainphirbhitumkochahunga #lovesongs #arijitsinghofficial #arijitsinghfanclub",sargamubc
https://www.instagram.com/p/CzPbhe0yv1N/,https://www.instagram.com/sargamubc,2023-11-04T22:41:13.000Z,,"🕊️🕊️🕊️

Song: Masakali by @mohitchauhanofficial 
Singers: Shraddha, Subin, Poem, Chinmay and Rishika 
acoustic guitar: Akshay 

#bollywood #sargamubc #sargam #bollywoodsongs #masakali #delhi6 #bollywoodmovies #masakalisong #hindi #music #singing #singingcover #acousticguitar #hindisongs  #filmy #filmymusic #bollywoodstyle #mohitchauhan #mohitchauhansongs",sargamubc
https://www.instagram.com/p/CzILxpmLfE6/,https://www.instagram.com/sargamubc,2023-11-02T03:11:04.000Z,,"A little teaser of what we have been working on!! We can’t wait to perform this piece for you all at our upcoming events ✨✨ 

song: O Rangrez by @shreyaghoshal and  @shankarehsaanloy 

singers: Shraddha, Rishika, Poem, Subin and Chinmay 
acoustic guitar: Akshay 

#bollywood #bollywoodsongs #sargamubc #sargam #singinggroup #orangrez #bhaagmilkhabhaag #bollywoodmovies #song #coversong #music #bollywoodlove #diwali #performance",sargamubc
https://www.instagram.com/p/Cy_r11jSInc/,https://www.instagram.com/hinduyuva.ubc,2023-10-29T19:50:25.000Z,,"Our 7th GBM is a special one!
Come out to jam to some tunes and bhajans with us and @sargamubc !!

Date: Nov 2nd
Time: 6:30 PM
Location: ORCH 4018

If you want to, please feel free to bring an instrument!

See you there!",hinduyuva.ubc
